Id,Hrapx,Hrapy,Lat,Lon,Globvalue
175945,1023,121,24.5187,-82.1811,0.57
175946,1024,121,24.5061,-82.1482,0.66
175947,1025,121,24.4935,-82.1153,0.69
175948,1026,121,24.4808,-82.0824,0.68
175949,1027,121,24.4682,-82.0496,0.50
175950,1028,121,24.4555,-82.0168,0.40
175951,1029,121,24.4428,-81.9839,0.38
177517,1019,122,24.5989,-82.2990,0.79
177518,1020,122,24.5864,-82.2660,0.70
177519,1021,122,24.5738,-82.2331,0.52
177520,1022,122,24.5612,-82.2001,0.57
177521,1023,122,24.5486,-82.1672,0.66
177522,1024,122,24.5360,-82.1343,0.69
177523,1025,122,24.5234,-82.1014,0.87
177524,1026,122,24.5107,-82.0685,0.66
177525,1027,122,24.4981,-82.0357,0.57
177526,1028,122,24.4854,-82.0028,0.54
177527,1029,122,24.4727,-81.9700,0.46
177528,1030,122,24.4600,-81.9372,0.25
177529,1031,122,24.4473,-81.9044,0.14
177530,1032,122,24.4345,-81.8716,0.11
177531,1033,122,24.4218,-81.8388,0.08
179093,1019,123,24.6289,-82.2852,0.81
179094,1020,123,24.6163,-82.2522,0.83
179095,1021,123,24.6038,-82.2192,0.60
179096,1022,123,24.5912,-82.1863,0.57
179097,1023,123,24.5786,-82.1533,0.67
179098,1024,123,24.5659,-82.1204,0.80
179099,1025,123,24.5533,-82.0875,0.83
179100,1026,123,24.5406,-82.0546,0.71
179101,1027,123,24.5280,-82.0217,0.69
179102,1028,123,24.5153,-81.9889,0.56
179103,1029,123,24.5026,-81.9560,0.44
179104,1030,123,24.4899,-81.9232,0.35
179105,1031,123,24.4771,-81.8904,0.20
179106,1032,123,24.4644,-81.8576,0.13
179107,1033,123,24.4516,-81.8248,0.11
179108,1034,123,24.4388,-81.7920,0.11
180669,1019,124,24.6589,-82.2714,0.72
180670,1020,124,24.6463,-82.2384,0.79
180671,1021,124,24.6337,-82.2054,0.67
180672,1022,124,24.6211,-82.1724,0.52
180673,1023,124,24.6085,-82.1395,0.65
180674,1024,124,24.5959,-82.1065,0.76
180675,1025,124,24.5832,-82.0736,0.87
180676,1026,124,24.5706,-82.0407,0.82
180677,1027,124,24.5579,-82.0078,0.79
180678,1028,124,24.5452,-81.9749,0.62
180679,1029,124,24.5325,-81.9421,0.59
180680,1030,124,24.5197,-81.9092,0.40
180681,1031,124,24.5070,-81.8764,0.29
180682,1032,124,24.4942,-81.8436,0.20
180683,1033,124,24.4814,-81.8108,0.13
180684,1034,124,24.4687,-81.7780,0.13
180685,1035,124,24.4558,-81.7452,0.14
180686,1036,124,24.4430,-81.7125,0.15
182245,1019,125,24.6889,-82.2575,0.81
182246,1020,125,24.6763,-82.2245,0.78
182247,1021,125,24.6637,-82.1915,0.78
182248,1022,125,24.6511,-82.1585,0.63
182249,1023,125,24.6385,-82.1256,0.61
182250,1024,125,24.6258,-82.0926,0.71
182251,1025,125,24.6132,-82.0597,0.84
182252,1026,125,24.6005,-82.0267,0.95
182253,1027,125,24.5878,-81.9938,0.82
182254,1028,125,24.5751,-81.9609,0.64
182255,1029,125,24.5623,-81.9281,0.66
182256,1030,125,24.5496,-81.8952,0.55
182257,1031,125,24.5368,-81.8624,0.39
182258,1032,125,24.5241,-81.8295,0.31
182259,1033,125,24.5113,-81.7967,0.16
182260,1034,125,24.4985,-81.7639,0.16
182261,1035,125,24.4857,-81.7311,0.15
182262,1036,125,24.4728,-81.6984,0.14
182263,1037,125,24.4600,-81.6656,0.14
183821,1019,126,24.7189,-82.2437,0.74
183822,1020,126,24.7063,-82.2107,0.85
183823,1021,126,24.6937,-82.1776,0.82
183824,1022,126,24.6811,-82.1446,0.77
183825,1023,126,24.6684,-82.1116,0.69
183826,1024,126,24.6558,-82.0787,0.77
183827,1025,126,24.6431,-82.0457,0.88
183828,1026,126,24.6304,-82.0128,0.94
183829,1027,126,24.6177,-81.9799,0.89
183830,1028,126,24.6050,-81.9469,0.71
183831,1029,126,24.5922,-81.9141,0.77
183832,1030,126,24.5795,-81.8812,0.64
183833,1031,126,24.5667,-81.8483,0.45
183834,1032,126,24.5539,-81.8155,0.44
183835,1033,126,24.5411,-81.7827,0.25
183836,1034,126,24.5283,-81.7498,0.17
183837,1035,126,24.5155,-81.7170,0.17
183838,1036,126,24.5027,-81.6843,0.18
183839,1037,126,24.4898,-81.6515,0.16
183840,1038,126,24.4769,-81.6188,0.17
185398,1020,127,24.7363,-82.1968,0.80
185399,1021,127,24.7237,-82.1637,0.81
185400,1022,127,24.7111,-82.1307,0.72
185401,1023,127,24.6984,-82.0977,0.79
185402,1024,127,24.6857,-82.0647,0.69
185403,1025,127,24.6730,-82.0318,0.74
185404,1026,127,24.6603,-81.9988,0.88
185405,1027,127,24.6476,-81.9659,0.97
185406,1028,127,24.6349,-81.9329,0.87
185407,1029,127,24.6221,-81.9000,0.75
185408,1030,127,24.6094,-81.8671,0.67
185409,1031,127,24.5966,-81.8343,0.43
185410,1032,127,24.5838,-81.8014,0.42
185411,1033,127,24.5710,-81.7686,0.40
185412,1034,127,24.5582,-81.7357,0.31
185413,1035,127,24.5453,-81.7029,0.21
185414,1036,127,24.5325,-81.6701,0.18
185415,1037,127,24.5196,-81.6374,0.18
185416,1038,127,24.5067,-81.6046,0.20
185417,1039,127,24.4938,-81.5719,0.21
186978,1024,128,24.7157,-82.0508,0.80
186979,1025,128,24.7030,-82.0178,0.76
186980,1026,128,24.6903,-81.9848,0.85
186981,1027,128,24.6776,-81.9519,0.99
186982,1028,128,24.6648,-81.9189,0.99
186983,1029,128,24.6521,-81.8860,0.83
186984,1030,128,24.6393,-81.8531,0.63
186985,1031,128,24.6265,-81.8202,0.43
186986,1032,128,24.6137,-81.7873,0.45
186987,1033,128,24.6009,-81.7545,0.46
186988,1034,128,24.5880,-81.7216,0.42
186989,1035,128,24.5752,-81.6888,0.27
186990,1036,128,24.5623,-81.6560,0.21
186991,1037,128,24.5494,-81.6232,0.17
186992,1038,128,24.5365,-81.5904,0.19
186993,1039,128,24.5236,-81.5577,0.23
186994,1040,128,24.5107,-81.5249,0.22
188556,1026,129,24.7202,-81.9708,0.78
188557,1027,129,24.7075,-81.9378,0.81
188558,1028,129,24.6947,-81.9049,0.89
188559,1029,129,24.6820,-81.8719,0.83
188560,1030,129,24.6692,-81.8390,0.66
188561,1031,129,24.6564,-81.8061,0.47
188562,1032,129,24.6436,-81.7732,0.56
188563,1033,129,24.6307,-81.7403,0.40
188564,1034,129,24.6179,-81.7075,0.37
188565,1035,129,24.6050,-81.6746,0.36
188566,1036,129,24.5921,-81.6418,0.34
188567,1037,129,24.5792,-81.6090,0.23
188568,1038,129,24.5663,-81.5762,0.21
188569,1039,129,24.5534,-81.5434,0.21
188570,1040,129,24.5405,-81.5107,0.25
188571,1041,129,24.5275,-81.4779,0.25
190134,1028,130,24.7247,-81.8908,0.93
190135,1029,130,24.7119,-81.8579,0.92
190136,1030,130,24.6991,-81.8249,0.76
190137,1031,130,24.6863,-81.7920,0.63
190138,1032,130,24.6735,-81.7591,0.51
190139,1033,130,24.6606,-81.7262,0.34
190140,1034,130,24.6477,-81.6933,0.35
190141,1035,130,24.6349,-81.6605,0.39
190142,1036,130,24.6220,-81.6276,0.33
190143,1037,130,24.6091,-81.5948,0.31
190144,1038,130,24.5962,-81.5620,0.22
190145,1039,130,24.5832,-81.5292,0.21
190146,1040,130,24.5703,-81.4964,0.20
190147,1041,130,24.5573,-81.4637,0.26
190148,1042,130,24.5443,-81.4309,0.26
190149,1043,130,24.5313,-81.3982,0.26
190150,1044,130,24.5183,-81.3655,0.35
191712,1030,131,24.7290,-81.8108,0.85
191713,1031,131,24.7162,-81.7779,0.73
191714,1032,131,24.7034,-81.7450,0.56
191715,1033,131,24.6905,-81.7121,0.39
191716,1034,131,24.6776,-81.6792,0.46
191717,1035,131,24.6647,-81.6463,0.35
191718,1036,131,24.6518,-81.6134,0.34
191719,1037,131,24.6389,-81.5806,0.31
191720,1038,131,24.6260,-81.5478,0.32
191721,1039,131,24.6130,-81.5150,0.29
191722,1040,131,24.6001,-81.4822,0.29
191723,1041,131,24.5871,-81.4494,0.21
191724,1042,131,24.5741,-81.4167,0.28
191725,1043,131,24.5611,-81.3839,0.23
191726,1044,131,24.5481,-81.3512,0.25
191727,1045,131,24.5350,-81.3185,0.29
193289,1031,132,24.7461,-81.7637,0.80
193290,1032,132,24.7333,-81.7308,0.64
193291,1033,132,24.7204,-81.6979,0.43
193292,1034,132,24.7075,-81.6650,0.47
193293,1035,132,24.6946,-81.6321,0.35
193294,1036,132,24.6817,-81.5992,0.35
193295,1037,132,24.6688,-81.5664,0.31
193296,1038,132,24.6558,-81.5335,0.36
193297,1039,132,24.6429,-81.5007,0.35
193298,1040,132,24.6299,-81.4679,0.32
193299,1041,132,24.6169,-81.4351,0.30
193300,1042,132,24.6039,-81.4024,0.23
193301,1043,132,24.5909,-81.3696,0.29
193302,1044,132,24.5778,-81.3369,0.25
193303,1045,132,24.5648,-81.3041,0.29
194866,1032,133,24.7632,-81.7166,0.72
194867,1033,133,24.7503,-81.6837,0.51
194868,1034,133,24.7374,-81.6508,0.45
194869,1035,133,24.7245,-81.6179,0.40
194870,1036,133,24.7116,-81.5850,0.36
194871,1037,133,24.6986,-81.5521,0.37
194872,1038,133,24.6857,-81.5193,0.40
194873,1039,133,24.6727,-81.4864,0.30
194874,1040,133,24.6597,-81.4536,0.33
194875,1041,133,24.6467,-81.4208,0.28
194876,1042,133,24.6337,-81.3880,0.30
194877,1043,133,24.6206,-81.3553,0.29
194878,1044,133,24.6076,-81.3225,0.27
194879,1045,133,24.5945,-81.2898,0.25
194880,1046,133,24.5815,-81.2570,0.25
196443,1033,134,24.7802,-81.6695,0.69
196444,1034,134,24.7673,-81.6366,0.50
196445,1035,134,24.7544,-81.6037,0.41
196446,1036,134,24.7414,-81.5708,0.47
196447,1037,134,24.7285,-81.5379,0.31
196448,1038,134,24.7155,-81.5050,0.40
196449,1039,134,24.7025,-81.4722,0.33
196450,1040,134,24.6895,-81.4393,0.31
196451,1041,134,24.6765,-81.4065,0.28
196452,1042,134,24.6635,-81.3737,0.27
196453,1043,134,24.6504,-81.3409,0.36
196454,1044,134,24.6374,-81.3081,0.33
196455,1045,134,24.6243,-81.2754,0.26
196456,1046,134,24.6112,-81.2427,0.31
196457,1047,134,24.5981,-81.2099,0.25
196458,1048,134,24.5850,-81.1772,0.26
196459,1049,134,24.5718,-81.1445,0.30
198019,1033,135,24.8101,-81.6553,0.80
198020,1034,135,24.7972,-81.6223,0.70
198021,1035,135,24.7842,-81.5894,0.58
198022,1036,135,24.7713,-81.5565,0.48
198023,1037,135,24.7583,-81.5236,0.36
198024,1038,135,24.7454,-81.4907,0.42
198025,1039,135,24.7324,-81.4578,0.40
198026,1040,135,24.7193,-81.4250,0.30
198027,1041,135,24.7063,-81.3922,0.27
198028,1042,135,24.6933,-81.3593,0.26
198029,1043,135,24.6802,-81.3265,0.26
198030,1044,135,24.6672,-81.2938,0.27
198031,1045,135,24.6541,-81.2610,0.25
198032,1046,135,24.6410,-81.2282,0.27
198033,1047,135,24.6278,-81.1955,0.32
198034,1048,135,24.6147,-81.1628,0.27
198035,1049,135,24.6016,-81.1301,0.25
198036,1050,135,24.5884,-81.0974,0.27
199596,1034,136,24.8271,-81.6081,0.81
199597,1035,136,24.8141,-81.5752,0.75
199598,1036,136,24.8012,-81.5422,0.61
199599,1037,136,24.7882,-81.5093,0.51
199600,1038,136,24.7752,-81.4764,0.49
199601,1039,136,24.7622,-81.4435,0.48
199602,1040,136,24.7492,-81.4107,0.33
199603,1041,136,24.7361,-81.3778,0.33
199604,1042,136,24.7231,-81.3450,0.28
199605,1043,136,24.7100,-81.3122,0.25
199606,1044,136,24.6969,-81.2794,0.25
199607,1045,136,24.6838,-81.2466,0.24
199608,1046,136,24.6707,-81.2138,0.25
199609,1047,136,24.6576,-81.1811,0.29
199610,1048,136,24.6445,-81.1483,0.23
199611,1049,136,24.6313,-81.1156,0.27
199612,1050,136,24.6181,-81.0829,0.23
199613,1051,136,24.6049,-81.0502,0.23
201173,1035,137,24.8440,-81.5609,0.83
201174,1036,137,24.8311,-81.5279,0.76
201175,1037,137,24.8181,-81.4950,0.68
201176,1038,137,24.8051,-81.4621,0.56
201177,1039,137,24.7921,-81.4292,0.50
201178,1040,137,24.7790,-81.3963,0.40
201179,1041,137,24.7660,-81.3634,0.44
201180,1042,137,24.7529,-81.3306,0.39
201181,1043,137,24.7398,-81.2978,0.33
201182,1044,137,24.7267,-81.2649,0.26
201183,1045,137,24.7136,-81.2321,0.24
201184,1046,137,24.7005,-81.1994,0.27
201185,1047,137,24.6874,-81.1666,0.27
201186,1048,137,24.6742,-81.1338,0.25
201187,1049,137,24.6610,-81.1011,0.26
201188,1050,137,24.6479,-81.0684,0.30
201189,1051,137,24.6347,-81.0357,0.28
201190,1052,137,24.6214,-81.0030,0.26
202749,1035,138,24.8740,-81.5466,0.89
202750,1036,138,24.8610,-81.5136,0.75
202751,1037,138,24.8480,-81.4807,0.80
202752,1038,138,24.8350,-81.4477,0.69
202753,1039,138,24.8219,-81.4148,0.69
202754,1040,138,24.8089,-81.3819,0.55
202755,1041,138,24.7958,-81.3490,0.50
202756,1042,138,24.7827,-81.3162,0.46
202757,1043,138,24.7696,-81.2833,0.42
202758,1044,138,24.7565,-81.2505,0.38
202759,1045,138,24.7434,-81.2177,0.33
202760,1046,138,24.7303,-81.1849,0.32
202761,1047,138,24.7171,-81.1521,0.31
202762,1048,138,24.7040,-81.1193,0.30
202763,1049,138,24.6908,-81.0866,0.31
202764,1050,138,24.6776,-81.0539,0.32
202765,1051,138,24.6644,-81.0212,0.34
202766,1052,138,24.6511,-80.9885,0.34
202767,1053,138,24.6379,-80.9558,0.33
204326,1036,139,24.8909,-81.4993,0.75
204327,1037,139,24.8779,-81.4663,0.91
204328,1038,139,24.8648,-81.4334,0.83
204329,1039,139,24.8518,-81.4004,0.77
204330,1040,139,24.8387,-81.3675,0.66
204331,1041,139,24.8257,-81.3346,0.59
204332,1042,139,24.8126,-81.3018,0.53
204334,1044,139,24.7864,-81.2361,0.42
204335,1045,139,24.7732,-81.2032,0.43
204336,1046,139,24.7601,-81.1704,0.37
204337,1047,139,24.7469,-81.1376,0.31
204338,1048,139,24.7337,-81.1048,0.31
204339,1049,139,24.7205,-81.0721,0.31
204340,1050,139,24.7073,-81.0393,0.30
204341,1051,139,24.6941,-81.0066,0.32
204342,1052,139,24.6809,-80.9739,0.32
204343,1053,139,24.6676,-80.9412,0.32
205905,1039,140,24.8817,-81.3861,0.88
205910,1044,140,24.8162,-81.2216,0.51
205911,1045,140,24.8030,-81.1887,0.50
205912,1046,140,24.7899,-81.1559,0.43
205913,1047,140,24.7767,-81.1231,0.38
205914,1048,140,24.7635,-81.0903,0.37
205915,1049,140,24.7503,-81.0575,0.32
205916,1050,140,24.7371,-81.0248,0.32
205917,1051,140,24.7238,-80.9920,0.33
205918,1052,140,24.7106,-80.9593,0.36
205919,1053,140,24.6973,-80.9266,0.33
205920,1054,140,24.6840,-80.8939,0.34
207486,1044,141,24.8460,-81.2071,0.70
207487,1045,141,24.8328,-81.1742,0.64
207488,1046,141,24.8197,-81.1414,0.58
207489,1047,141,24.8065,-81.1086,0.52
207490,1048,141,24.7933,-81.0758,0.50
207491,1049,141,24.7800,-81.0430,0.45
207492,1050,141,24.7668,-81.0102,0.38
207493,1051,141,24.7536,-80.9774,0.35
207494,1052,141,24.7403,-80.9447,0.36
207495,1053,141,24.7270,-80.9120,0.34
207496,1054,141,24.7137,-80.8793,0.34
207497,1055,141,24.7004,-80.8466,0.35
209064,1046,142,24.8495,-81.1269,0.69
209065,1047,142,24.8363,-81.0940,0.64
209066,1048,142,24.8230,-81.0612,0.59
209067,1049,142,24.8098,-81.0284,0.51
209068,1050,142,24.7966,-80.9956,0.48
209069,1051,142,24.7833,-80.9628,0.45
209070,1052,142,24.7700,-80.9301,0.41
209071,1053,142,24.7567,-80.8973,0.36
209072,1054,142,24.7434,-80.8646,0.32
209073,1055,142,24.7301,-80.8319,0.31
209074,1056,142,24.7168,-80.7992,0.31
210640,1046,143,24.8793,-81.1123,0.79
210641,1047,143,24.8661,-81.0795,0.73
210642,1048,143,24.8528,-81.0466,0.68
210643,1049,143,24.8396,-81.0138,0.60
210644,1050,143,24.8263,-80.9810,0.56
210645,1051,143,24.8131,-80.9482,0.52
210646,1052,143,24.7998,-80.9154,0.45
210647,1053,143,24.7865,-80.8827,0.44
210648,1054,143,24.7732,-80.8499,0.41
210649,1055,143,24.7598,-80.8172,0.39
210650,1056,143,24.7465,-80.7845,0.39
210651,1057,143,24.7331,-80.7518,0.34
212217,1047,144,24.8959,-81.0649,0.80
212218,1048,144,24.8826,-81.0320,0.71
212219,1049,144,24.8694,-80.9992,0.66
212220,1050,144,24.8561,-80.9664,0.62
212221,1051,144,24.8428,-80.9336,0.58
212222,1052,144,24.8295,-80.9008,0.54
212223,1053,144,24.8162,-80.8680,0.47
212224,1054,144,24.8029,-80.8353,0.41
212225,1055,144,24.7895,-80.8025,0.41
212226,1056,144,24.7762,-80.7698,0.43
212227,1057,144,24.7628,-80.7371,0.41
212228,1058,144,24.7494,-80.7044,0.39
213794,1048,145,24.9124,-81.0174,0.73
213795,1049,145,24.8992,-80.9846,0.67
213796,1050,145,24.8859,-80.9517,0.59
213797,1051,145,24.8726,-80.9189,0.58
213798,1052,145,24.8593,-80.8861,0.58
213799,1053,145,24.8459,-80.8533,0.52
213800,1054,145,24.8326,-80.8206,0.49
213801,1055,145,24.8192,-80.7878,0.48
213802,1056,145,24.8059,-80.7551,0.46
213803,1057,145,24.7925,-80.7224,0.49
213804,1058,145,24.7791,-80.6897,0.57
215364,1042,146,25.0216,-81.2004,0.59
215365,1043,146,25.0084,-81.1674,0.58
215372,1050,146,24.9157,-80.9371,0.64
215373,1051,146,24.9024,-80.9042,0.61
215374,1052,146,24.8890,-80.8714,0.62
215375,1053,146,24.8757,-80.8386,0.58
215376,1054,146,24.8623,-80.8058,0.62
215377,1055,146,24.8490,-80.7731,0.62
215378,1056,146,24.8356,-80.7403,0.56
215379,1057,146,24.8222,-80.7076,0.52
215380,1058,146,24.8088,-80.6749,0.48
215381,1059,146,24.7953,-80.6422,0.44
216938,1040,147,25.0778,-81.2518,0.52
216939,1041,147,25.0647,-81.2188,0.50
216940,1042,147,25.0515,-81.1858,0.56
216941,1043,147,25.0383,-81.1528,0.56
216942,1044,147,25.0251,-81.1199,0.51
216943,1045,147,25.0118,-81.0869,0.55
216948,1050,147,24.9455,-80.9224,0.59
216949,1051,147,24.9321,-80.8896,0.68
216950,1052,147,24.9188,-80.8567,0.68
216951,1053,147,24.9054,-80.8239,0.58
216952,1054,147,24.8921,-80.7911,0.54
216953,1055,147,24.8787,-80.7583,0.56
216954,1056,147,24.8653,-80.7256,0.52
216955,1057,147,24.8519,-80.6928,0.46
216956,1058,147,24.8385,-80.6601,0.42
216957,1059,147,24.8250,-80.6274,0.38
218512,1038,148,25.1341,-81.3034,0.42
218513,1039,148,25.1209,-81.2703,0.39
218514,1040,148,25.1077,-81.2373,0.41
218515,1041,148,25.0946,-81.2043,0.47
218516,1042,148,25.0814,-81.1712,0.46
218517,1043,148,25.0682,-81.1382,0.51
218518,1044,148,25.0549,-81.1053,0.54
218519,1045,148,25.0417,-81.0723,0.48
218520,1046,148,25.0284,-81.0393,0.53
218521,1047,148,25.0152,-81.0064,0.56
218525,1051,148,24.9619,-80.8748,0.54
218526,1052,148,24.9486,-80.8420,0.56
218527,1053,148,24.9352,-80.8092,0.52
218528,1054,148,24.9218,-80.7764,0.47
218529,1055,148,24.9084,-80.7436,0.40
218530,1056,148,24.8950,-80.7108,0.41
218531,1057,148,24.8816,-80.6780,0.40
218532,1058,148,24.8682,-80.6453,0.35
218533,1059,148,24.8547,-80.6125,0.33
218534,1060,148,24.8412,-80.5798,0.34
220087,1037,149,25.1771,-81.3220,0.41
220088,1038,149,25.1640,-81.2889,0.42
220089,1039,149,25.1508,-81.2558,0.40
220090,1040,149,25.1377,-81.2227,0.40
220091,1041,149,25.1245,-81.1897,0.41
220092,1042,149,25.1113,-81.1567,0.40
220093,1043,149,25.0980,-81.1236,0.37
220094,1044,149,25.0848,-81.0906,0.43
220095,1045,149,25.0715,-81.0577,0.45
220096,1046,149,25.0583,-81.0247,0.38
220097,1047,149,25.0450,-80.9917,0.40
220098,1048,149,25.0317,-80.9588,0.41
220102,1052,149,24.9783,-80.8273,0.36
220103,1053,149,24.9650,-80.7944,0.40
220104,1054,149,24.9516,-80.7616,0.40
220105,1055,149,24.9382,-80.7288,0.35
220106,1056,149,24.9248,-80.6960,0.32
220107,1057,149,24.9113,-80.6632,0.32
220108,1058,149,24.8979,-80.6304,0.32
220109,1059,149,24.8844,-80.5977,0.37
220110,1060,149,24.8709,-80.5650,0.36
220111,1061,149,24.8574,-80.5323,0.38
221663,1037,150,25.2071,-81.3075,0.30
221664,1038,150,25.1940,-81.2743,0.33
221665,1039,150,25.1808,-81.2412,0.42
221666,1040,150,25.1676,-81.2082,0.43
221667,1041,150,25.1544,-81.1751,0.43
221668,1042,150,25.1412,-81.1420,0.37
221669,1043,150,25.1279,-81.1090,0.35
221670,1044,150,25.1147,-81.0760,0.31
221671,1045,150,25.1014,-81.0430,0.34
221672,1046,150,25.0881,-81.0100,0.35
221673,1047,150,25.0748,-80.9771,0.30
221674,1048,150,25.0615,-80.9441,0.31
221675,1049,150,25.0482,-80.9112,0.36
221676,1050,150,25.0349,-80.8783,0.33
221679,1053,150,24.9947,-80.7796,0.33
221680,1054,150,24.9813,-80.7468,0.32
221681,1055,150,24.9679,-80.7140,0.34
221682,1056,150,24.9545,-80.6812,0.30
221683,1057,150,24.9410,-80.6484,0.31
221684,1058,150,24.9276,-80.6156,0.37
221685,1059,150,24.9141,-80.5828,0.41
221686,1060,150,24.9006,-80.5501,0.41
221687,1061,150,24.8871,-80.5174,0.38
223238,1036,151,25.2502,-81.3261,0.24
223239,1037,151,25.2371,-81.2929,0.25
223240,1038,151,25.2239,-81.2598,0.29
223241,1039,151,25.2107,-81.2267,0.32
223242,1040,151,25.1975,-81.1936,0.36
223243,1041,151,25.1843,-81.1605,0.37
223244,1042,151,25.1711,-81.1274,0.39
223245,1043,151,25.1578,-81.0944,0.41
223246,1044,151,25.1446,-81.0614,0.39
223247,1045,151,25.1313,-81.0283,0.37
223248,1046,151,25.1180,-80.9953,0.37
223249,1047,151,25.1047,-80.9624,0.35
223250,1048,151,25.0914,-80.9294,0.28
223251,1049,151,25.0780,-80.8965,0.28
223252,1050,151,25.0647,-80.8635,0.28
223253,1051,151,25.0513,-80.8306,0.27
223254,1052,151,25.0379,-80.7977,0.27
223255,1053,151,25.0245,-80.7649,0.29
223256,1054,151,25.0111,-80.7320,0.36
223257,1055,151,24.9977,-80.6992,0.33
223258,1056,151,24.9842,-80.6663,0.33
223259,1057,151,24.9708,-80.6335,0.30
223260,1058,151,24.9573,-80.6007,0.34
223261,1059,151,24.9438,-80.5680,0.38
223262,1060,151,24.9303,-80.5352,0.37
223263,1061,151,24.9168,-80.5025,0.34
224232,454,152,29.7172,-102.8848,0.03
224233,455,152,29.7160,-102.8453,0.04
224814,1036,152,25.2802,-81.3115,0.24
224815,1037,152,25.2671,-81.2783,0.26
224816,1038,152,25.2539,-81.2452,0.25
224817,1039,152,25.2407,-81.2121,0.28
224818,1040,152,25.2275,-81.1790,0.28
224819,1041,152,25.2142,-81.1459,0.30
224820,1042,152,25.2010,-81.1128,0.34
224821,1043,152,25.1877,-81.0797,0.37
224822,1044,152,25.1745,-81.0467,0.34
224823,1045,152,25.1612,-81.0137,0.38
224824,1046,152,25.1479,-80.9806,0.37
224825,1047,152,25.1346,-80.9477,0.43
224826,1048,152,25.1212,-80.9147,0.44
224827,1049,152,25.1079,-80.8817,0.36
224828,1050,152,25.0945,-80.8488,0.32
224829,1051,152,25.0811,-80.8159,0.32
224830,1052,152,25.0677,-80.7829,0.35
224831,1053,152,25.0543,-80.7501,0.32
224832,1054,152,25.0409,-80.7172,0.31
224833,1055,152,25.0274,-80.6843,0.32
224834,1056,152,25.0140,-80.6515,0.32
224835,1057,152,25.0005,-80.6187,0.33
224836,1058,152,24.9870,-80.5859,0.30
224837,1059,152,24.9735,-80.5531,0.29
224838,1060,152,24.9600,-80.5203,0.30
224839,1061,152,24.9465,-80.4875,0.29
224840,1062,152,24.9329,-80.4548,0.29
225807,453,153,29.7528,-102.9228,0.03
225808,454,153,29.7516,-102.8833,0.05
225809,455,153,29.7503,-102.8438,0.08
225810,456,153,29.7490,-102.8042,0.05
226390,1036,153,25.3102,-81.2969,0.23
226391,1037,153,25.2971,-81.2638,0.24
226392,1038,153,25.2839,-81.2306,0.26
226393,1039,153,25.2706,-81.1975,0.27
226394,1040,153,25.2574,-81.1643,0.25
226395,1041,153,25.2442,-81.1312,0.24
226396,1042,153,25.2309,-81.0981,0.27
226397,1043,153,25.2177,-81.0651,0.27
226398,1044,153,25.2044,-81.0320,0.27
226399,1045,153,25.1911,-80.9990,0.29
226400,1046,153,25.1777,-80.9659,0.29
226401,1047,153,25.1644,-80.9329,0.35
226402,1048,153,25.1511,-80.8999,0.44
226403,1049,153,25.1377,-80.8670,0.43
226404,1050,153,25.1243,-80.8340,0.34
226405,1051,153,25.1109,-80.8011,0.38
226406,1052,153,25.0975,-80.7681,0.42
226407,1053,153,25.0841,-80.7352,0.35
226408,1054,153,25.0707,-80.7023,0.31
226409,1055,153,25.0572,-80.6695,0.29
226410,1056,153,25.0437,-80.6366,0.27
226411,1057,153,25.0303,-80.6038,0.31
